,Problem,spc,n_formulae,n_atoms,contains_include,full_file_name
18,TOP025+4.p, FOF_THM_RFO_SEQ,34383.0,241394.0,,TPTP-v9.0.0/Problems/TOP/TOP025+4.p
19,TOP031+4.p, FOF_THM_RFO_SEQ,34412.0,241633.0,,TPTP-v9.0.0/Problems/TOP/TOP031+4.p
20,TOP027+4.p, FOF_THM_RFO_SEQ,34388.0,241430.0,,TPTP-v9.0.0/Problems/TOP/TOP027+4.p
21,TOP033+4.p, FOF_THM_RFO_SEQ,34416.0,241693.0,,TPTP-v9.0.0/Problems/TOP/TOP033+4.p
22,TOP038+1.p, FOF_THM_RFO_SEQ,135.0,611.0,,TPTP-v9.0.0/Problems/TOP/TOP038+1.p
23,TOP047+3.p, FOF_THM_RFO_SEQ,18713.0,133042.0,,TPTP-v9.0.0/Problems/TOP/TOP047+3.p
24,TOP019-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP019-1.p
25,TOP018-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP018-1.p
26,TOP046+3.p, FOF_THM_RFO_SEQ,18711.0,133010.0,,TPTP-v9.0.0/Problems/TOP/TOP046+3.p
27,TOP039+1.p, FOF_THM_RFO_SEQ,122.0,575.0,,TPTP-v9.0.0/Problems/TOP/TOP039+1.p
28,TOP032+4.p, FOF_THM_RFO_SEQ,34414.0,241665.0,,TPTP-v9.0.0/Problems/TOP/TOP032+4.p
29,TOP026+4.p, FOF_THM_RFO_SEQ,34387.0,241423.0,,TPTP-v9.0.0/Problems/TOP/TOP026+4.p
30,TOP041+4.p, FOF_THM_RFO_SEQ,34438.0,241943.0,,TPTP-v9.0.0/Problems/TOP/TOP041+4.p
31,TOP028+2.p, FOF_THM_RFO_SEQ,3592.0,18929.0,,TPTP-v9.0.0/Problems/TOP/TOP028+2.p
32,TOP035+3.p, FOF_THM_RFO_SEQ,13520.0,83777.0,,TPTP-v9.0.0/Problems/TOP/TOP035+3.p
33,TOP034+3.p, FOF_THM_RFO_SEQ,13513.0,83680.0,,TPTP-v9.0.0/Problems/TOP/TOP034+3.p
34,TOP029+2.p, FOF_CAX_RFO_SEQ,3608.0,19056.0,,TPTP-v9.0.0/Problems/TOP/TOP029+2.p
35,TOP040+4.p, FOF_THM_RFO_SEQ,34437.0,241934.0,,TPTP-v9.0.0/Problems/TOP/TOP040+4.p
36,TOP042+4.p, FOF_THM_RFO_SEQ,34439.0,241952.0,,TPTP-v9.0.0/Problems/TOP/TOP042+4.p
37,TOP036+3.p, FOF_THM_RFO_SEQ,13526.0,83841.0,,TPTP-v9.0.0/Problems/TOP/TOP036+3.p
38,TOP037+3.p, FOF_THM_RFO_SEQ,13529.0,83872.0,,TPTP-v9.0.0/Problems/TOP/TOP037+3.p
39,TOP023+3.p, FOF_THM_RFO_SEQ,13475.0,83342.0,,TPTP-v9.0.0/Problems/TOP/TOP023+3.p
40,TOP048+1.p, FOF_THM_RFO_SEQ,184.0,1147.0,,TPTP-v9.0.0/Problems/TOP/TOP048+1.p
41,TOP043+4.p, FOF_THM_RFO_SEQ,52366.0,399087.0,,TPTP-v9.0.0/Problems/TOP/TOP043+4.p
42,TOP047+4.p, FOF_THM_RFO_SEQ,55494.0,426243.0,,TPTP-v9.0.0/Problems/TOP/TOP047+4.p
43,TOP027+3.p, FOF_THM_RFO_SEQ,13483.0,83399.0,,TPTP-v9.0.0/Problems/TOP/TOP027+3.p
44,TOP033+3.p, FOF_THM_RFO_SEQ,13511.0,83662.0,,TPTP-v9.0.0/Problems/TOP/TOP033+3.p
45,TOP051-1.p, CNF_UNS_RFO_PEQ_UEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP051-1.p
46,TOP050-1.p, CNF_UNS_RFO_PEQ_UEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP050-1.p
47,TOP032+3.p, FOF_THM_RFO_SEQ,13509.0,83634.0,,TPTP-v9.0.0/Problems/TOP/TOP032+3.p
48,TOP026+3.p, FOF_THM_RFO_SEQ,13482.0,83392.0,,TPTP-v9.0.0/Problems/TOP/TOP026+3.p
49,TOP046+4.p, FOF_THM_RFO_SEQ,55492.0,426211.0,,TPTP-v9.0.0/Problems/TOP/TOP046+4.p
50,TOP044+4.p, FOF_UNK_RFO_SEQ,55482.0,426051.0,,TPTP-v9.0.0/Problems/TOP/TOP044+4.p
51,TOP039+2.p, FOF_THM_RFO_SEQ,3637.0,19400.0,,TPTP-v9.0.0/Problems/TOP/TOP039+2.p
52,TOP030+3.p, FOF_THM_RFO_SEQ,13505.0,83580.0,,TPTP-v9.0.0/Problems/TOP/TOP030+3.p
53,TOP024+3.p, FOF_THM_RFO_SEQ,13477.0,83355.0,,TPTP-v9.0.0/Problems/TOP/TOP024+3.p
54,TOP052-1.p, CNF_UNS_RFO_PEQ_UEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP052-1.p
55,TOP053-1.p, CNF_UNS_RFO_PEQ_UEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP053-1.p
56,TOP025+3.p, FOF_THM_RFO_SEQ,13478.0,83363.0,,TPTP-v9.0.0/Problems/TOP/TOP025+3.p
57,TOP031+3.p, FOF_THM_RFO_SEQ,13507.0,83602.0,,TPTP-v9.0.0/Problems/TOP/TOP031+3.p
58,TOP038+2.p, FOF_THM_RFO_SEQ,3636.0,19389.0,,TPTP-v9.0.0/Problems/TOP/TOP038+2.p
59,TOP045+4.p, FOF_THM_RFO_SEQ,55491.0,426199.0,,TPTP-v9.0.0/Problems/TOP/TOP045+4.p
60,TOP048+4.p, FOF_THM_RFO_SEQ,55520.0,426569.0,,TPTP-v9.0.0/Problems/TOP/TOP048+4.p
61,TOP035+2.p, FOF_THM_RFO_SEQ,3626.0,19285.0,,TPTP-v9.0.0/Problems/TOP/TOP035+2.p
62,TOP043+1.p, FOF_THM_RFO_SEQ,102.0,354.0,,TPTP-v9.0.0/Problems/TOP/TOP043+1.p
63,TOP028+3.p, FOF_THM_RFO_SEQ,13486.0,83421.0,,TPTP-v9.0.0/Problems/TOP/TOP028+3.p
64,TOP029+3.p, FOF_THM_RFO_SEQ,13502.0,83548.0,,TPTP-v9.0.0/Problems/TOP/TOP029+3.p
65,TOP042+1.p, FOF_THM_RFO_SEQ,122.0,579.0,,TPTP-v9.0.0/Problems/TOP/TOP042+1.p
66,TOP034+2.p, FOF_THM_RFO_SEQ,3619.0,19188.0,,TPTP-v9.0.0/Problems/TOP/TOP034+2.p
67,TOP001-2.p, CNF_UNS_RFO_NEQ_NHN,,,,TPTP-v9.0.0/Problems/TOP/TOP001-2.p
68,TOP003-2.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP003-2.p
69,TOP036+2.p, FOF_THM_RFO_SEQ,3632.0,19349.0,,TPTP-v9.0.0/Problems/TOP/TOP036+2.p
70,TOP040+1.p, FOF_THM_RFO_SEQ,122.0,575.0,,TPTP-v9.0.0/Problems/TOP/TOP040+1.p
71,TOP049-1.p, CNF_UNS_RFO_PEQ_UEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP049-1.p
72,TOP041+1.p, FOF_THM_RFO_SEQ,125.0,587.0,,TPTP-v9.0.0/Problems/TOP/TOP041+1.p
73,TOP023+2.p, FOF_THM_RFO_SEQ,3581.0,18850.0,,TPTP-v9.0.0/Problems/TOP/TOP023+2.p
74,TOP037+2.p, FOF_THM_RFO_SEQ,3635.0,19380.0,,TPTP-v9.0.0/Problems/TOP/TOP037+2.p
75,TOP002-2.p, CNF_UNS_RFO_NEQ_NHN,,,,TPTP-v9.0.0/Problems/TOP/TOP002-2.p
76,TOP033+2.p, FOF_THM_RFO_SEQ,3617.0,19170.0,,TPTP-v9.0.0/Problems/TOP/TOP033+2.p
77,TOP027+2.p, FOF_THM_RFO_SEQ,3589.0,18907.0,,TPTP-v9.0.0/Problems/TOP/TOP027+2.p
78,TOP045+1.p, FOF_THM_RFO_SEQ,117.0,468.0,,TPTP-v9.0.0/Problems/TOP/TOP045+1.p
79,TOP044+1.p, FOF_THM_RFO_SEQ,112.0,622.0,,TPTP-v9.0.0/Problems/TOP/TOP044+1.p
80,TOP026+2.p, FOF_THM_RFO_SEQ,3588.0,18900.0,,TPTP-v9.0.0/Problems/TOP/TOP026+2.p
81,TOP032+2.p, FOF_THM_RFO_SEQ,3615.0,19142.0,,TPTP-v9.0.0/Problems/TOP/TOP032+2.p
82,TOP005-2.p, CNF_UNS_RFO_NEQ_NHN,,,,TPTP-v9.0.0/Problems/TOP/TOP005-2.p
83,TOP024+2.p, FOF_THM_RFO_SEQ,3583.0,18863.0,,TPTP-v9.0.0/Problems/TOP/TOP024+2.p
84,TOP030+2.p, FOF_THM_RFO_SEQ,3611.0,19088.0,,TPTP-v9.0.0/Problems/TOP/TOP030+2.p
85,TOP046+1.p, FOF_THM_RFO_SEQ,72.0,233.0,,TPTP-v9.0.0/Problems/TOP/TOP046+1.p
86,TOP039+3.p, FOF_THM_RFO_SEQ,13531.0,83892.0,,TPTP-v9.0.0/Problems/TOP/TOP039+3.p
87,TOP038+3.p, FOF_THM_RFO_SEQ,13530.0,83881.0,,TPTP-v9.0.0/Problems/TOP/TOP038+3.p
88,TOP047+1.p, FOF_THM_RFO_SEQ,102.0,352.0,,TPTP-v9.0.0/Problems/TOP/TOP047+1.p
89,TOP031+2.p, FOF_THM_RFO_SEQ,3613.0,19110.0,,TPTP-v9.0.0/Problems/TOP/TOP031+2.p
90,TOP025+2.p, FOF_THM_RFO_SEQ,3584.0,18871.0,,TPTP-v9.0.0/Problems/TOP/TOP025+2.p
91,TOP004-2.p, CNF_UNS_RFO_NEQ_NHN,,,,TPTP-v9.0.0/Problems/TOP/TOP004-2.p
92,TOP042+2.p, FOF_THM_RFO_SEQ,3640.0,19429.0,,TPTP-v9.0.0/Problems/TOP/TOP042+2.p
93,TOP020+1.p, FOF_THM_RFO_SEQ,9.0,37.0,,TPTP-v9.0.0/Problems/TOP/TOP020+1.p
94,TOP034+1.p, FOF_THM_RFO_SEQ,95.0,466.0,,TPTP-v9.0.0/Problems/TOP/TOP034+1.p
95,TOP001-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP001-1.p
96,TOP015-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP015-1.p
97,TOP014-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP014-1.p
98,TOP035+1.p, FOF_THM_RFO_SEQ,110.0,534.0,,TPTP-v9.0.0/Problems/TOP/TOP035+1.p
99,TOP021+1.p, FOF_THM_RFO_NEQ,4.0,8.0,,TPTP-v9.0.0/Problems/TOP/TOP021+1.p
100,TOP043+2.p, FOF_THM_RFO_SEQ,6842.0,33925.0,,TPTP-v9.0.0/Problems/TOP/TOP043+2.p
101,TOP028+4.p, FOF_THM_RFO_SEQ,34391.0,241452.0,,TPTP-v9.0.0/Problems/TOP/TOP028+4.p
102,TOP041+2.p, FOF_THM_RFO_SEQ,3639.0,19420.0,,TPTP-v9.0.0/Problems/TOP/TOP041+2.p
103,TOP037+1.p, FOF_THM_RFO_SEQ,110.0,532.0,,TPTP-v9.0.0/Problems/TOP/TOP037+1.p
104,TOP023+1.p, FOF_THM_RFO_SEQ,49.0,166.0,,TPTP-v9.0.0/Problems/TOP/TOP023+1.p
105,TOP048+3.p, FOF_THM_RFO_SEQ,18739.0,133368.0,,TPTP-v9.0.0/Problems/TOP/TOP048+3.p
106,TOP016-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP016-1.p
107,TOP002-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP002-1.p
108,TOP003-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP003-1.p
109,TOP017-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP017-1.p
110,TOP022+1.p, FOF_THM_RFO_NEQ,4.0,12.0,,TPTP-v9.0.0/Problems/TOP/TOP022+1.p
111,TOP036+1.p, FOF_THM_RFO_SEQ,131.0,603.0,,TPTP-v9.0.0/Problems/TOP/TOP036+1.p
112,TOP040+2.p, FOF_THM_RFO_SEQ,3638.0,19411.0,,TPTP-v9.0.0/Problems/TOP/TOP040+2.p
113,TOP029+4.p, FOF_CAX_RFO_SEQ,34407.0,241579.0,,TPTP-v9.0.0/Problems/TOP/TOP029+4.p
114,TOP039+4.p, FOF_THM_RFO_SEQ,34436.0,241923.0,,TPTP-v9.0.0/Problems/TOP/TOP039+4.p
115,TOP044+2.p, FOF_UNK_RFO_SEQ,8852.0,54444.0,,TPTP-v9.0.0/Problems/TOP/TOP044+2.p
116,TOP032+1.p, FOF_THM_RFO_SEQ,133.0,617.0,,TPTP-v9.0.0/Problems/TOP/TOP032+1.p
117,TOP026+1.p, FOF_THM_RFO_SEQ,78.0,296.0,,TPTP-v9.0.0/Problems/TOP/TOP026+1.p
118,TOP013-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP013-1.p
119,TOP007-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP007-1.p
120,TOP006-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP006-1.p
121,TOP012-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP012-1.p
122,TOP027+1.p, FOF_THM_RFO_SEQ,79.0,306.0,,TPTP-v9.0.0/Problems/TOP/TOP027+1.p
123,TOP033+1.p, FOF_THM_RFO_SEQ,133.0,613.0,,TPTP-v9.0.0/Problems/TOP/TOP033+1.p
124,TOP045+2.p, FOF_THM_RFO_SEQ,8861.0,54592.0,,TPTP-v9.0.0/Problems/TOP/TOP045+2.p
125,TOP038+4.p, FOF_THM_RFO_SEQ,34435.0,241912.0,,TPTP-v9.0.0/Problems/TOP/TOP038+4.p
126,TOP047+2.p, FOF_THM_RFO_SEQ,8864.0,54636.0,,TPTP-v9.0.0/Problems/TOP/TOP047+2.p
127,TOP025+1.p, FOF_THM_RFO_SEQ,61.0,248.0,,TPTP-v9.0.0/Problems/TOP/TOP025+1.p
128,TOP031+1.p, FOF_THM_RFO_SEQ,133.0,630.0,,TPTP-v9.0.0/Problems/TOP/TOP031+1.p
129,TOP004-1.p, CNF_UNS_RFO_NEQ_NHN,,,,TPTP-v9.0.0/Problems/TOP/TOP004-1.p
130,TOP010-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP010-1.p
131,TOP011-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP011-1.p
132,TOP005-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP005-1.p
133,TOP030+1.p, FOF_THM_RFO_SEQ,136.0,639.0,,TPTP-v9.0.0/Problems/TOP/TOP030+1.p
134,TOP024+1.p, FOF_THM_RFO_SEQ,69.0,270.0,,TPTP-v9.0.0/Problems/TOP/TOP024+1.p
135,TOP046+2.p, FOF_THM_RFO_SEQ,8862.0,54604.0,,TPTP-v9.0.0/Problems/TOP/TOP046+2.p
136,CAT031+3.p, FOF_THM_RFO_SEQ,11807.0,70866.0,,TPTP-v9.0.0/Problems/CAT/CAT031+3.p
137,CAT025+3.p, FOF_THM_RFO_SEQ,11789.0,70646.0,,TPTP-v9.0.0/Problems/CAT/CAT025+3.p
138,CAT004-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT004-3.p
139,CAT019-2.p, CNF_UNS_RFO_PEQ_NUE,,,,TPTP-v9.0.0/Problems/CAT/CAT019-2.p
140,CAT005-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT005-3.p
141,CAT010-10.p, CNF_UNS_RFO_PEQ_UEQ,,,,TPTP-v9.0.0/Problems/CAT/CAT010-10.p
142,CAT011-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT011-3.p
143,CAT024+3.p, FOF_UNK_RFO_SEQ,11783.0,70584.0,,TPTP-v9.0.0/Problems/CAT/CAT024+3.p
144,CAT030+3.p, FOF_THM_RFO_SEQ,11803.0,70806.0,,TPTP-v9.0.0/Problems/CAT/CAT030+3.p
145,CAT026+3.p, FOF_THM_RFO_SEQ,11797.0,70726.0,,TPTP-v9.0.0/Problems/CAT/CAT026+3.p
146,CAT032+3.p, FOF_THM_RFO_SEQ,11814.0,70956.0,,TPTP-v9.0.0/Problems/CAT/CAT032+3.p
147,CAT007-3.p, CNF_UNS_RFO_NEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT007-3.p
148,CAT013-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT013-3.p
149,CAT012-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT012-3.p
150,CAT006-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT006-3.p
151,CAT033+3.p, FOF_THM_RFO_SEQ,16909.0,113752.0,,TPTP-v9.0.0/Problems/CAT/CAT033+3.p
152,CAT027+3.p, FOF_THM_RFO_SEQ,11799.0,70752.0,,TPTP-v9.0.0/Problems/CAT/CAT027+3.p
153,CAT023+3.p, FOF_UNK_RFO_SEQ,11782.0,70570.0,,TPTP-v9.0.0/Problems/CAT/CAT023+3.p
154,CAT037+3.p, FOF_UNK_RFO_SEQ,16922.0,113831.0,,TPTP-v9.0.0/Problems/CAT/CAT037+3.p
155,CAT002-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT002-3.p
156,CAT016-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT016-3.p
157,CAT017-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT017-3.p
158,CAT003-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT003-3.p
159,CAT036+3.p, FOF_UNK_RFO_SEQ,16920.0,113815.0,,TPTP-v9.0.0/Problems/CAT/CAT036+3.p
160,CAT022+3.p, FOF_THM_RFO_SEQ,11772.0,70475.0,,TPTP-v9.0.0/Problems/CAT/CAT022+3.p
161,CAT034+3.p, FOF_THM_RFO_SEQ,16913.0,113771.0,,TPTP-v9.0.0/Problems/CAT/CAT034+3.p
162,CAT015-3.p, CNF_SAT_RFO_EQU_NUE,,,,TPTP-v9.0.0/Problems/CAT/CAT015-3.p
163,CAT001-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT001-3.p
164,CAT020-2.p, CNF_SAT_RFO_EQU_NUE,,,,TPTP-v9.0.0/Problems/CAT/CAT020-2.p
165,CAT029+2.p, FOF_THM_RFO_SEQ,4069.0,18712.0,,TPTP-v9.0.0/Problems/CAT/CAT029+2.p
166,CAT028+2.p, FOF_THM_RFO_SEQ,4067.0,18683.0,,TPTP-v9.0.0/Problems/CAT/CAT028+2.p
167,CAT014-3.p, CNF_UNS_RFO_SEQ_NHN,,,,TPTP-v9.0.0/Problems/CAT/CAT014-3.p
168,CAT021+3.p, FOF_THM_RFO_SEQ,11760.0,70342.0,,TPTP-v9.0.0/Problems/CAT/CAT021+3.p
169,CAT035+3.p, FOF_THM_RFO_SEQ,16916.0,113790.0,,TPTP-v9.0.0/Problems/CAT/CAT035+3.p
170,CAT018-1.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT018-1.p
171,CAT026+4.p, FOF_THM_RFO_SEQ,29101.0,198669.0,,TPTP-v9.0.0/Problems/CAT/CAT026+4.p
172,CAT032+4.p, FOF_THM_RFO_SEQ,29118.0,198899.0,,TPTP-v9.0.0/Problems/CAT/CAT032+4.p
173,CAT013-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT013-4.p
174,CAT012-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT012-4.p
175,CAT006-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT006-4.p
176,CAT033+4.p, FOF_THM_RFO_SEQ,42648.0,311610.0,,TPTP-v9.0.0/Problems/CAT/CAT033+4.p
177,CAT027+4.p, FOF_CAX_RFO_SEQ,29103.0,198695.0,,TPTP-v9.0.0/Problems/CAT/CAT027+4.p
178,CAT019-1.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT019-1.p
179,CAT019-5.p, CNF_SAT_RFO_EQU_NUE,,,,TPTP-v9.0.0/Problems/CAT/CAT019-5.p
180,CAT031+4.p, FOF_THM_RFO_SEQ,29111.0,198809.0,,TPTP-v9.0.0/Problems/CAT/CAT031+4.p
181,CAT025+4.p, FOF_THM_RFO_SEQ,29093.0,198589.0,,TPTP-v9.0.0/Problems/CAT/CAT025+4.p
182,CAT010-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT010-4.p
183,CAT004-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT004-4.p
184,CAT005-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT005-4.p
185,CAT011-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT011-4.p
186,CAT024+4.p, FOF_UNK_RFO_SEQ,29087.0,198527.0,,TPTP-v9.0.0/Problems/CAT/CAT024+4.p
187,CAT030+4.p, FOF_THM_RFO_SEQ,29107.0,198749.0,,TPTP-v9.0.0/Problems/CAT/CAT030+4.p
188,CAT034+4.p, FOF_THM_RFO_SEQ,42652.0,311629.0,,TPTP-v9.0.0/Problems/CAT/CAT034+4.p
189,CAT001-10.p, CNF_SAT_RFO_PEQ_UEQ,,,,TPTP-v9.0.0/Problems/CAT/CAT001-10.p
190,CAT015-4.p, CNF_SAT_RFO_EQU_NUE,,,,TPTP-v9.0.0/Problems/CAT/CAT015-4.p
191,CAT001-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT001-4.p
192,CAT014-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT014-4.p
193,CAT021+4.p, FOF_THM_RFO_SEQ,29064.0,198285.0,,TPTP-v9.0.0/Problems/CAT/CAT021+4.p
194,CAT035+4.p, FOF_THM_RFO_SEQ,42655.0,311648.0,,TPTP-v9.0.0/Problems/CAT/CAT035+4.p
195,CAT028+1.p, FOF_THM_RFO_SEQ,64.0,322.0,,TPTP-v9.0.0/Problems/CAT/CAT028+1.p
196,CAT009-1.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT009-1.p
197,CAT023+4.p, FOF_CAX_RFO_SEQ,29086.0,198513.0,,TPTP-v9.0.0/Problems/CAT/CAT023+4.p
198,CAT037+4.p, FOF_UNK_RFO_SEQ,42661.0,311689.0,,TPTP-v9.0.0/Problems/CAT/CAT037+4.p
199,CAT002-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT002-4.p
200,CAT016-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT016-4.p
201,CAT017-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT017-4.p
202,CAT003-4.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT003-4.p
203,CAT036+4.p, FOF_UNK_RFO_SEQ,42659.0,311673.0,,TPTP-v9.0.0/Problems/CAT/CAT036+4.p
204,CAT022+4.p, FOF_THM_RFO_SEQ,29076.0,198418.0,,TPTP-v9.0.0/Problems/CAT/CAT022+4.p
205,CAT008-1.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT008-1.p
206,CAT020-1.p, CNF_SAT_RFO_EQU_NUE,,,,TPTP-v9.0.0/Problems/CAT/CAT020-1.p
207,CAT029+1.p, FOF_THM_RFO_SEQ,60.0,215.0,,TPTP-v9.0.0/Problems/CAT/CAT029+1.p
208,CAT024+1.p, FOF_UNK_RFO_SEQ,114.0,654.0,,TPTP-v9.0.0/Problems/CAT/CAT024+1.p
209,CAT030+1.p, FOF_THM_RFO_SEQ,65.0,237.0,,TPTP-v9.0.0/Problems/CAT/CAT030+1.p
210,CAT005-1.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT005-1.p
211,CAT011-1.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT011-1.p
212,CAT010-1.p, CNF_UNS_RFO_SEQ_HRN,,,,TPTP-v9.0.0/Problems/CAT/CAT010-1.p
