,Problem,spc,n_formulae,n_atoms,n_clauses,n_literals,n_variables,full_file_name,problem_form,expected_szs,logic_order,equality,arithmetic,horness
19,TOP031+4.p, FOF_THM_RFO_SEQ,34412.0,241633.0,,,94681.0,TPTP-v9.0.0/Problems/TOP/TOP031+4.p,FOF,THM,RFO,SEQ,,
20,TOP027+4.p, FOF_THM_RFO_SEQ,34388.0,241430.0,,,94617.0,TPTP-v9.0.0/Problems/TOP/TOP027+4.p,FOF,THM,RFO,SEQ,,
21,TOP033+4.p, FOF_THM_RFO_SEQ,34416.0,241693.0,,,94699.0,TPTP-v9.0.0/Problems/TOP/TOP033+4.p,FOF,THM,RFO,SEQ,,
22,TOP038+1.p, FOF_THM_RFO_SEQ,135.0,611.0,,,249.0,TPTP-v9.0.0/Problems/TOP/TOP038+1.p,FOF,THM,RFO,SEQ,,
23,TOP047+3.p, FOF_THM_RFO_SEQ,18713.0,133042.0,,,49249.0,TPTP-v9.0.0/Problems/TOP/TOP047+3.p,FOF,THM,RFO,SEQ,,
24,TOP019-1.p, CNF_SAT_RFO_NEQ,,,111.0,338.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP019-1.p,CNF,SAT,RFO,NEQ,,
25,TOP018-1.p, CNF_SAT_RFO_NEQ,,,112.0,340.0,358.0,TPTP-v9.0.0/Problems/TOP/TOP018-1.p,CNF,SAT,RFO,NEQ,,
26,TOP046+3.p, FOF_THM_RFO_SEQ,18711.0,133010.0,,,49245.0,TPTP-v9.0.0/Problems/TOP/TOP046+3.p,FOF,THM,RFO,SEQ,,
27,TOP039+1.p, FOF_THM_RFO_SEQ,122.0,575.0,,,222.0,TPTP-v9.0.0/Problems/TOP/TOP039+1.p,FOF,THM,RFO,SEQ,,
28,TOP032+4.p, FOF_THM_RFO_SEQ,34414.0,241665.0,,,94690.0,TPTP-v9.0.0/Problems/TOP/TOP032+4.p,FOF,THM,RFO,SEQ,,
29,TOP026+4.p, FOF_THM_RFO_SEQ,34387.0,241423.0,,,94614.0,TPTP-v9.0.0/Problems/TOP/TOP026+4.p,FOF,THM,RFO,SEQ,,
30,TOP041+4.p, FOF_THM_RFO_SEQ,34438.0,241943.0,,,94785.0,TPTP-v9.0.0/Problems/TOP/TOP041+4.p,FOF,THM,RFO,SEQ,,
31,TOP028+2.p, FOF_THM_RFO_SEQ,3592.0,18929.0,,,8462.0,TPTP-v9.0.0/Problems/TOP/TOP028+2.p,FOF,THM,RFO,SEQ,,
32,TOP035+3.p, FOF_THM_RFO_SEQ,13520.0,83777.0,,,33576.0,TPTP-v9.0.0/Problems/TOP/TOP035+3.p,FOF,THM,RFO,SEQ,,
33,TOP034+3.p, FOF_THM_RFO_SEQ,13513.0,83680.0,,,33544.0,TPTP-v9.0.0/Problems/TOP/TOP034+3.p,FOF,THM,RFO,SEQ,,
34,TOP029+2.p, FOF_CAX_RFO_SEQ,3608.0,19056.0,,,8499.0,TPTP-v9.0.0/Problems/TOP/TOP029+2.p,FOF,CAX,RFO,SEQ,,
35,TOP040+4.p, FOF_THM_RFO_SEQ,34437.0,241934.0,,,94782.0,TPTP-v9.0.0/Problems/TOP/TOP040+4.p,FOF,THM,RFO,SEQ,,
36,TOP042+4.p, FOF_THM_RFO_SEQ,34439.0,241952.0,,,94788.0,TPTP-v9.0.0/Problems/TOP/TOP042+4.p,FOF,THM,RFO,SEQ,,
37,TOP036+3.p, FOF_THM_RFO_SEQ,13526.0,83841.0,,,33599.0,TPTP-v9.0.0/Problems/TOP/TOP036+3.p,FOF,THM,RFO,SEQ,,
38,TOP037+3.p, FOF_THM_RFO_SEQ,13529.0,83872.0,,,33610.0,TPTP-v9.0.0/Problems/TOP/TOP037+3.p,FOF,THM,RFO,SEQ,,
39,TOP023+3.p, FOF_THM_RFO_SEQ,13475.0,83342.0,,,33437.0,TPTP-v9.0.0/Problems/TOP/TOP023+3.p,FOF,THM,RFO,SEQ,,
40,TOP048+1.p, FOF_THM_RFO_SEQ,184.0,1147.0,,,274.0,TPTP-v9.0.0/Problems/TOP/TOP048+1.p,FOF,THM,RFO,SEQ,,
41,TOP043+4.p, FOF_THM_RFO_SEQ,52366.0,399087.0,,,149260.0,TPTP-v9.0.0/Problems/TOP/TOP043+4.p,FOF,THM,RFO,SEQ,,
42,TOP047+4.p, FOF_THM_RFO_SEQ,55494.0,426243.0,,,158428.0,TPTP-v9.0.0/Problems/TOP/TOP047+4.p,FOF,THM,RFO,SEQ,,
43,TOP027+3.p, FOF_THM_RFO_SEQ,13483.0,83399.0,,,33457.0,TPTP-v9.0.0/Problems/TOP/TOP027+3.p,FOF,THM,RFO,SEQ,,
44,TOP033+3.p, FOF_THM_RFO_SEQ,13511.0,83662.0,,,33539.0,TPTP-v9.0.0/Problems/TOP/TOP033+3.p,FOF,THM,RFO,SEQ,,
45,TOP051-1.p, CNF_UNS_RFO_PEQ_UEQ,,,14.0,14.0,6.0,TPTP-v9.0.0/Problems/TOP/TOP051-1.p,CNF,UNS,RFO,PEQ,UEQ,
46,TOP050-1.p, CNF_UNS_RFO_PEQ_UEQ,,,35.0,35.0,6.0,TPTP-v9.0.0/Problems/TOP/TOP050-1.p,CNF,UNS,RFO,PEQ,UEQ,
47,TOP032+3.p, FOF_THM_RFO_SEQ,13509.0,83634.0,,,33530.0,TPTP-v9.0.0/Problems/TOP/TOP032+3.p,FOF,THM,RFO,SEQ,,
48,TOP026+3.p, FOF_THM_RFO_SEQ,13482.0,83392.0,,,33454.0,TPTP-v9.0.0/Problems/TOP/TOP026+3.p,FOF,THM,RFO,SEQ,,
49,TOP046+4.p, FOF_THM_RFO_SEQ,55492.0,426211.0,,,158424.0,TPTP-v9.0.0/Problems/TOP/TOP046+4.p,FOF,THM,RFO,SEQ,,
50,TOP044+4.p, FOF_UNK_RFO_SEQ,55482.0,426051.0,,,158392.0,TPTP-v9.0.0/Problems/TOP/TOP044+4.p,FOF,UNK,RFO,SEQ,,
51,TOP039+2.p, FOF_THM_RFO_SEQ,3637.0,19400.0,,,8614.0,TPTP-v9.0.0/Problems/TOP/TOP039+2.p,FOF,THM,RFO,SEQ,,
52,TOP030+3.p, FOF_THM_RFO_SEQ,13505.0,83580.0,,,33513.0,TPTP-v9.0.0/Problems/TOP/TOP030+3.p,FOF,THM,RFO,SEQ,,
53,TOP024+3.p, FOF_THM_RFO_SEQ,13477.0,83355.0,,,33441.0,TPTP-v9.0.0/Problems/TOP/TOP024+3.p,FOF,THM,RFO,SEQ,,
54,TOP052-1.p, CNF_UNS_RFO_PEQ_UEQ,,,145.0,145.0,6.0,TPTP-v9.0.0/Problems/TOP/TOP052-1.p,CNF,UNS,RFO,PEQ,UEQ,
55,TOP053-1.p, CNF_UNS_RFO_PEQ_UEQ,,,19.0,19.0,6.0,TPTP-v9.0.0/Problems/TOP/TOP053-1.p,CNF,UNS,RFO,PEQ,UEQ,
56,TOP025+3.p, FOF_THM_RFO_SEQ,13478.0,83363.0,,,33443.0,TPTP-v9.0.0/Problems/TOP/TOP025+3.p,FOF,THM,RFO,SEQ,,
57,TOP031+3.p, FOF_THM_RFO_SEQ,13507.0,83602.0,,,33521.0,TPTP-v9.0.0/Problems/TOP/TOP031+3.p,FOF,THM,RFO,SEQ,,
58,TOP038+2.p, FOF_THM_RFO_SEQ,3636.0,19389.0,,,8610.0,TPTP-v9.0.0/Problems/TOP/TOP038+2.p,FOF,THM,RFO,SEQ,,
59,TOP045+4.p, FOF_THM_RFO_SEQ,55491.0,426199.0,,,158419.0,TPTP-v9.0.0/Problems/TOP/TOP045+4.p,FOF,THM,RFO,SEQ,,
60,TOP048+4.p, FOF_THM_RFO_SEQ,55520.0,426569.0,,,158490.0,TPTP-v9.0.0/Problems/TOP/TOP048+4.p,FOF,THM,RFO,SEQ,,
61,TOP035+2.p, FOF_THM_RFO_SEQ,3626.0,19285.0,,,8572.0,TPTP-v9.0.0/Problems/TOP/TOP035+2.p,FOF,THM,RFO,SEQ,,
62,TOP043+1.p, FOF_THM_RFO_SEQ,102.0,354.0,,,197.0,TPTP-v9.0.0/Problems/TOP/TOP043+1.p,FOF,THM,RFO,SEQ,,
63,TOP028+3.p, FOF_THM_RFO_SEQ,13486.0,83421.0,,,33466.0,TPTP-v9.0.0/Problems/TOP/TOP028+3.p,FOF,THM,RFO,SEQ,,
64,TOP029+3.p, FOF_THM_RFO_SEQ,13502.0,83548.0,,,33503.0,TPTP-v9.0.0/Problems/TOP/TOP029+3.p,FOF,THM,RFO,SEQ,,
65,TOP042+1.p, FOF_THM_RFO_SEQ,122.0,579.0,,,221.0,TPTP-v9.0.0/Problems/TOP/TOP042+1.p,FOF,THM,RFO,SEQ,,
66,TOP034+2.p, FOF_THM_RFO_SEQ,3619.0,19188.0,,,8540.0,TPTP-v9.0.0/Problems/TOP/TOP034+2.p,FOF,THM,RFO,SEQ,,
67,TOP001-2.p, CNF_UNS_RFO_NEQ_NHN,,,13.0,27.0,25.0,TPTP-v9.0.0/Problems/TOP/TOP001-2.p,CNF,UNS,RFO,NEQ,NHN,
68,TOP003-2.p, CNF_SAT_RFO_NEQ,,,11.0,22.0,20.0,TPTP-v9.0.0/Problems/TOP/TOP003-2.p,CNF,SAT,RFO,NEQ,,
69,TOP036+2.p, FOF_THM_RFO_SEQ,3632.0,19349.0,,,8595.0,TPTP-v9.0.0/Problems/TOP/TOP036+2.p,FOF,THM,RFO,SEQ,,
70,TOP040+1.p, FOF_THM_RFO_SEQ,122.0,575.0,,,222.0,TPTP-v9.0.0/Problems/TOP/TOP040+1.p,FOF,THM,RFO,SEQ,,
71,TOP049-1.p, CNF_UNS_RFO_PEQ_UEQ,,,14.0,14.0,6.0,TPTP-v9.0.0/Problems/TOP/TOP049-1.p,CNF,UNS,RFO,PEQ,UEQ,
72,TOP041+1.p, FOF_THM_RFO_SEQ,125.0,587.0,,,227.0,TPTP-v9.0.0/Problems/TOP/TOP041+1.p,FOF,THM,RFO,SEQ,,
73,TOP023+2.p, FOF_THM_RFO_SEQ,3581.0,18850.0,,,8433.0,TPTP-v9.0.0/Problems/TOP/TOP023+2.p,FOF,THM,RFO,SEQ,,
74,TOP037+2.p, FOF_THM_RFO_SEQ,3635.0,19380.0,,,8606.0,TPTP-v9.0.0/Problems/TOP/TOP037+2.p,FOF,THM,RFO,SEQ,,
75,TOP002-2.p, CNF_UNS_RFO_NEQ_NHN,,,3.0,4.0,3.0,TPTP-v9.0.0/Problems/TOP/TOP002-2.p,CNF,UNS,RFO,NEQ,NHN,
76,TOP033+2.p, FOF_THM_RFO_SEQ,3617.0,19170.0,,,8535.0,TPTP-v9.0.0/Problems/TOP/TOP033+2.p,FOF,THM,RFO,SEQ,,
77,TOP027+2.p, FOF_THM_RFO_SEQ,3589.0,18907.0,,,8453.0,TPTP-v9.0.0/Problems/TOP/TOP027+2.p,FOF,THM,RFO,SEQ,,
78,TOP045+1.p, FOF_THM_RFO_SEQ,117.0,468.0,,,203.0,TPTP-v9.0.0/Problems/TOP/TOP045+1.p,FOF,THM,RFO,SEQ,,
79,TOP044+1.p, FOF_THM_RFO_SEQ,112.0,622.0,,,174.0,TPTP-v9.0.0/Problems/TOP/TOP044+1.p,FOF,THM,RFO,SEQ,,
80,TOP026+2.p, FOF_THM_RFO_SEQ,3588.0,18900.0,,,8450.0,TPTP-v9.0.0/Problems/TOP/TOP026+2.p,FOF,THM,RFO,SEQ,,
81,TOP032+2.p, FOF_THM_RFO_SEQ,3615.0,19142.0,,,8526.0,TPTP-v9.0.0/Problems/TOP/TOP032+2.p,FOF,THM,RFO,SEQ,,
82,TOP005-2.p, CNF_UNS_RFO_NEQ_NHN,,,12.0,30.0,27.0,TPTP-v9.0.0/Problems/TOP/TOP005-2.p,CNF,UNS,RFO,NEQ,NHN,
83,TOP024+2.p, FOF_THM_RFO_SEQ,3583.0,18863.0,,,8437.0,TPTP-v9.0.0/Problems/TOP/TOP024+2.p,FOF,THM,RFO,SEQ,,
84,TOP030+2.p, FOF_THM_RFO_SEQ,3611.0,19088.0,,,8509.0,TPTP-v9.0.0/Problems/TOP/TOP030+2.p,FOF,THM,RFO,SEQ,,
85,TOP046+1.p, FOF_THM_RFO_SEQ,72.0,233.0,,,133.0,TPTP-v9.0.0/Problems/TOP/TOP046+1.p,FOF,THM,RFO,SEQ,,
86,TOP039+3.p, FOF_THM_RFO_SEQ,13531.0,83892.0,,,33618.0,TPTP-v9.0.0/Problems/TOP/TOP039+3.p,FOF,THM,RFO,SEQ,,
87,TOP038+3.p, FOF_THM_RFO_SEQ,13530.0,83881.0,,,33614.0,TPTP-v9.0.0/Problems/TOP/TOP038+3.p,FOF,THM,RFO,SEQ,,
88,TOP047+1.p, FOF_THM_RFO_SEQ,102.0,352.0,,,163.0,TPTP-v9.0.0/Problems/TOP/TOP047+1.p,FOF,THM,RFO,SEQ,,
89,TOP031+2.p, FOF_THM_RFO_SEQ,3613.0,19110.0,,,8517.0,TPTP-v9.0.0/Problems/TOP/TOP031+2.p,FOF,THM,RFO,SEQ,,
90,TOP025+2.p, FOF_THM_RFO_SEQ,3584.0,18871.0,,,8439.0,TPTP-v9.0.0/Problems/TOP/TOP025+2.p,FOF,THM,RFO,SEQ,,
91,TOP004-2.p, CNF_UNS_RFO_NEQ_NHN,,,21.0,59.0,59.0,TPTP-v9.0.0/Problems/TOP/TOP004-2.p,CNF,UNS,RFO,NEQ,NHN,
92,TOP042+2.p, FOF_THM_RFO_SEQ,3640.0,19429.0,,,8624.0,TPTP-v9.0.0/Problems/TOP/TOP042+2.p,FOF,THM,RFO,SEQ,,
93,TOP020+1.p, FOF_THM_RFO_SEQ,9.0,37.0,,,34.0,TPTP-v9.0.0/Problems/TOP/TOP020+1.p,FOF,THM,RFO,SEQ,,
94,TOP034+1.p, FOF_THM_RFO_SEQ,95.0,466.0,,,160.0,TPTP-v9.0.0/Problems/TOP/TOP034+1.p,FOF,THM,RFO,SEQ,,
95,TOP001-1.p, CNF_SAT_RFO_NEQ,,,111.0,338.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP001-1.p,CNF,SAT,RFO,NEQ,,
96,TOP015-1.p, CNF_SAT_RFO_NEQ,,,112.0,339.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP015-1.p,CNF,SAT,RFO,NEQ,,
97,TOP014-1.p, CNF_SAT_RFO_NEQ,,,115.0,354.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP014-1.p,CNF,SAT,RFO,NEQ,,
98,TOP035+1.p, FOF_THM_RFO_SEQ,110.0,534.0,,,188.0,TPTP-v9.0.0/Problems/TOP/TOP035+1.p,FOF,THM,RFO,SEQ,,
99,TOP021+1.p, FOF_THM_RFO_NEQ,4.0,8.0,,,13.0,TPTP-v9.0.0/Problems/TOP/TOP021+1.p,FOF,THM,RFO,NEQ,,
100,TOP043+2.p, FOF_THM_RFO_SEQ,6842.0,33925.0,,,15555.0,TPTP-v9.0.0/Problems/TOP/TOP043+2.p,FOF,THM,RFO,SEQ,,
101,TOP028+4.p, FOF_THM_RFO_SEQ,34391.0,241452.0,,,94626.0,TPTP-v9.0.0/Problems/TOP/TOP028+4.p,FOF,THM,RFO,SEQ,,
102,TOP041+2.p, FOF_THM_RFO_SEQ,3639.0,19420.0,,,8621.0,TPTP-v9.0.0/Problems/TOP/TOP041+2.p,FOF,THM,RFO,SEQ,,
103,TOP037+1.p, FOF_THM_RFO_SEQ,110.0,532.0,,,198.0,TPTP-v9.0.0/Problems/TOP/TOP037+1.p,FOF,THM,RFO,SEQ,,
104,TOP023+1.p, FOF_THM_RFO_SEQ,49.0,166.0,,,81.0,TPTP-v9.0.0/Problems/TOP/TOP023+1.p,FOF,THM,RFO,SEQ,,
105,TOP048+3.p, FOF_THM_RFO_SEQ,18739.0,133368.0,,,49311.0,TPTP-v9.0.0/Problems/TOP/TOP048+3.p,FOF,THM,RFO,SEQ,,
106,TOP016-1.p, CNF_SAT_RFO_NEQ,,,112.0,339.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP016-1.p,CNF,SAT,RFO,NEQ,,
107,TOP002-1.p, CNF_SAT_RFO_NEQ,,,111.0,338.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP002-1.p,CNF,SAT,RFO,NEQ,,
108,TOP003-1.p, CNF_SAT_RFO_NEQ,,,111.0,338.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP003-1.p,CNF,SAT,RFO,NEQ,,
109,TOP017-1.p, CNF_SAT_RFO_NEQ,,,114.0,345.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP017-1.p,CNF,SAT,RFO,NEQ,,
110,TOP022+1.p, FOF_THM_RFO_NEQ,4.0,12.0,,,14.0,TPTP-v9.0.0/Problems/TOP/TOP022+1.p,FOF,THM,RFO,NEQ,,
111,TOP036+1.p, FOF_THM_RFO_SEQ,131.0,603.0,,,221.0,TPTP-v9.0.0/Problems/TOP/TOP036+1.p,FOF,THM,RFO,SEQ,,
112,TOP040+2.p, FOF_THM_RFO_SEQ,3638.0,19411.0,,,8618.0,TPTP-v9.0.0/Problems/TOP/TOP040+2.p,FOF,THM,RFO,SEQ,,
113,TOP029+4.p, FOF_CAX_RFO_SEQ,34407.0,241579.0,,,94663.0,TPTP-v9.0.0/Problems/TOP/TOP029+4.p,FOF,CAX,RFO,SEQ,,
114,TOP039+4.p, FOF_THM_RFO_SEQ,34436.0,241923.0,,,94778.0,TPTP-v9.0.0/Problems/TOP/TOP039+4.p,FOF,THM,RFO,SEQ,,
115,TOP044+2.p, FOF_UNK_RFO_SEQ,8852.0,54444.0,,,21406.0,TPTP-v9.0.0/Problems/TOP/TOP044+2.p,FOF,UNK,RFO,SEQ,,
116,TOP032+1.p, FOF_THM_RFO_SEQ,133.0,617.0,,,239.0,TPTP-v9.0.0/Problems/TOP/TOP032+1.p,FOF,THM,RFO,SEQ,,
117,TOP026+1.p, FOF_THM_RFO_SEQ,78.0,296.0,,,136.0,TPTP-v9.0.0/Problems/TOP/TOP026+1.p,FOF,THM,RFO,SEQ,,
118,TOP013-1.p, CNF_SAT_RFO_NEQ,,,112.0,340.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP013-1.p,CNF,SAT,RFO,NEQ,,
119,TOP007-1.p, CNF_SAT_RFO_NEQ,,,114.0,343.0,359.0,TPTP-v9.0.0/Problems/TOP/TOP007-1.p,CNF,SAT,RFO,NEQ,,
120,TOP006-1.p, CNF_SAT_RFO_NEQ,,,111.0,338.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP006-1.p,CNF,SAT,RFO,NEQ,,
121,TOP012-1.p, CNF_SAT_RFO_NEQ,,,119.0,376.0,360.0,TPTP-v9.0.0/Problems/TOP/TOP012-1.p,CNF,SAT,RFO,NEQ,,
122,TOP027+1.p, FOF_THM_RFO_SEQ,79.0,306.0,,,138.0,TPTP-v9.0.0/Problems/TOP/TOP027+1.p,FOF,THM,RFO,SEQ,,
123,TOP033+1.p, FOF_THM_RFO_SEQ,133.0,613.0,,,239.0,TPTP-v9.0.0/Problems/TOP/TOP033+1.p,FOF,THM,RFO,SEQ,,
124,TOP045+2.p, FOF_THM_RFO_SEQ,8861.0,54592.0,,,21433.0,TPTP-v9.0.0/Problems/TOP/TOP045+2.p,FOF,THM,RFO,SEQ,,
125,TOP038+4.p, FOF_THM_RFO_SEQ,34435.0,241912.0,,,94774.0,TPTP-v9.0.0/Problems/TOP/TOP038+4.p,FOF,THM,RFO,SEQ,,
126,TOP047+2.p, FOF_THM_RFO_SEQ,8864.0,54636.0,,,21442.0,TPTP-v9.0.0/Problems/TOP/TOP047+2.p,FOF,THM,RFO,SEQ,,
127,TOP025+1.p, FOF_THM_RFO_SEQ,61.0,248.0,,,99.0,TPTP-v9.0.0/Problems/TOP/TOP025+1.p,FOF,THM,RFO,SEQ,,
128,TOP031+1.p, FOF_THM_RFO_SEQ,133.0,630.0,,,243.0,TPTP-v9.0.0/Problems/TOP/TOP031+1.p,FOF,THM,RFO,SEQ,,
129,TOP004-1.p, CNF_UNS_RFO_NEQ_NHN,,,113.0,340.0,361.0,TPTP-v9.0.0/Problems/TOP/TOP004-1.p,CNF,UNS,RFO,NEQ,NHN,
130,TOP010-1.p, CNF_SAT_RFO_NEQ,,,112.0,339.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP010-1.p,CNF,SAT,RFO,NEQ,,
131,TOP011-1.p, CNF_SAT_RFO_NEQ,,,112.0,343.0,358.0,TPTP-v9.0.0/Problems/TOP/TOP011-1.p,CNF,SAT,RFO,NEQ,,
132,TOP005-1.p, CNF_SAT_RFO_NEQ,,,112.0,339.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP005-1.p,CNF,SAT,RFO,NEQ,,
133,TOP030+1.p, FOF_THM_RFO_SEQ,136.0,639.0,,,249.0,TPTP-v9.0.0/Problems/TOP/TOP030+1.p,FOF,THM,RFO,SEQ,,
134,TOP024+1.p, FOF_THM_RFO_SEQ,69.0,270.0,,,109.0,TPTP-v9.0.0/Problems/TOP/TOP024+1.p,FOF,THM,RFO,SEQ,,
135,TOP046+2.p, FOF_THM_RFO_SEQ,8862.0,54604.0,,,21438.0,TPTP-v9.0.0/Problems/TOP/TOP046+2.p,FOF,THM,RFO,SEQ,,
136,CAT031+3.p, FOF_THM_RFO_SEQ,11807.0,70866.0,,,29302.0,TPTP-v9.0.0/Problems/CAT/CAT031+3.p,FOF,THM,RFO,SEQ,,
137,CAT025+3.p, FOF_THM_RFO_SEQ,11789.0,70646.0,,,29179.0,TPTP-v9.0.0/Problems/CAT/CAT025+3.p,FOF,THM,RFO,SEQ,,
138,CAT004-3.p, CNF_UNS_RFO_SEQ_NHN,,,23.0,47.0,37.0,TPTP-v9.0.0/Problems/CAT/CAT004-3.p,CNF,UNS,RFO,SEQ,NHN,
139,CAT019-2.p, CNF_UNS_RFO_PEQ_NUE,,,10.0,16.0,13.0,TPTP-v9.0.0/Problems/CAT/CAT019-2.p,CNF,UNS,RFO,PEQ,NUE,
140,CAT005-3.p, CNF_UNS_RFO_SEQ_NHN,,,21.0,43.0,33.0,TPTP-v9.0.0/Problems/CAT/CAT005-3.p,CNF,UNS,RFO,SEQ,NHN,
141,CAT010-10.p, CNF_UNS_RFO_PEQ_UEQ,,,16.0,16.0,27.0,TPTP-v9.0.0/Problems/CAT/CAT010-10.p,CNF,UNS,RFO,PEQ,UEQ,
142,CAT011-3.p, CNF_UNS_RFO_SEQ_NHN,,,19.0,39.0,31.0,TPTP-v9.0.0/Problems/CAT/CAT011-3.p,CNF,UNS,RFO,SEQ,NHN,
143,CAT024+3.p, FOF_UNK_RFO_SEQ,11783.0,70584.0,,,29147.0,TPTP-v9.0.0/Problems/CAT/CAT024+3.p,FOF,UNK,RFO,SEQ,,
144,CAT030+3.p, FOF_THM_RFO_SEQ,11803.0,70806.0,,,29266.0,TPTP-v9.0.0/Problems/CAT/CAT030+3.p,FOF,THM,RFO,SEQ,,
145,CAT026+3.p, FOF_THM_RFO_SEQ,11797.0,70726.0,,,29221.0,TPTP-v9.0.0/Problems/CAT/CAT026+3.p,FOF,THM,RFO,SEQ,,
146,CAT032+3.p, FOF_THM_RFO_SEQ,11814.0,70956.0,,,29352.0,TPTP-v9.0.0/Problems/CAT/CAT032+3.p,FOF,THM,RFO,SEQ,,
147,CAT007-3.p, CNF_UNS_RFO_NEQ_NHN,,,12.0,23.0,15.0,TPTP-v9.0.0/Problems/CAT/CAT007-3.p,CNF,UNS,RFO,NEQ,NHN,
148,CAT013-3.p, CNF_UNS_RFO_SEQ_NHN,,,19.0,39.0,31.0,TPTP-v9.0.0/Problems/CAT/CAT013-3.p,CNF,UNS,RFO,SEQ,NHN,
149,CAT012-3.p, CNF_UNS_RFO_SEQ_NHN,,,19.0,39.0,31.0,TPTP-v9.0.0/Problems/CAT/CAT012-3.p,CNF,UNS,RFO,SEQ,NHN,
150,CAT006-3.p, CNF_UNS_RFO_SEQ_NHN,,,21.0,43.0,33.0,TPTP-v9.0.0/Problems/CAT/CAT006-3.p,CNF,UNS,RFO,SEQ,NHN,
